[1546720823.7444363, '192.168.50.145', '24.19', '10205FE010002A7B', '0.664', '-1.296', '-9.724', '4.515', '-4.253', '4.121', '0.066', '-0.390', '-0.368', '-82']
[1546720823.846099, '192.168.50.145', '26.15', '10205FE010002A85', '0.497', '-1.308', '-9.425', '5.014', '2.398', '9.021', '0.068', '-0.397', '-0.359', '-84']
[1546720823.8599477, '192.168.50.145', '24.29', '10205FE010002A7B', '0.497', '-1.308', '-9.425', '5.014', '2.398', '9.021', '0.068', '-0.397', '-0.359', '-82']
[1546720823.9583786, '192.168.50.145', '26.19', '10205FE010002A85', '-0.050', '-1.306', '-9.613', '10.570', '0.341', '-3.115', '0.070', '-0.415', '-0.350', '-84']
[1546720823.9722347, '192.168.50.145', '24.23', '10205FE010002A7B', '-0.050', '-1.306', '-9.613', '10.570', '0.341', '-3.115', '0.070', '-0.415', '-0.350', '-82']
[1546720823.9861088, '192.168.50.145', '12.23', '10205FE010002C95', '-0.050', '-1.306', '-9.613', '10.570', '0.341', '-3.115', '0.070', '-0.415', '-0.350', '-92']
[1546720824.0892391, '192.168.50.145', '24.21', '10205FE010002A7B', '-0.011', '-1.389', '-9.228', '0.543', '12.600', '-4.174', '0.071', '-0.421', '-0.344', '-82']
[1546720824.10317, '192.168.50.145', '12.28', '10205FE010002C95', '-0.011', '-1.389', '-9.228', '0.543', '12.600', '-4.174', '0.071', '-0.421', '-0.344', '-92']
[1546720824.4912171, '192.168.50.145', '12.26', '10205FE010002C95', '-0.621', '-0.475', '-10.242', '2.144', '-5.136', '-8.733', '0.042', '-0.399', '-0.370', '-91']
[1546720824.602905, '192.168.50.145', '26.10', '10205FE010002A85', '0.376', '-0.658', '-9.698', '-15.024', '-6.431', '7.963', '0.050', '-0.389', '-0.370', '-84']
[1546720824.8282926, '192.168.50.145', '0.59', '10205FE010002BEB', '0.269', '-0.197', '-9.876', '10.509', '7.604', '-2.922', '0.052', '-0.379', '-0.376', '-82']
[1546720825.0596254, '192.168.50.145', '24.21', '10205FE010002A7B', '0.693', '-0.230', '-9.939', '8.557', '-23.065', '2.555', '0.046', '-0.387', '-0.378', '-81']
[1546720825.5195816, '192.168.50.145', '26.12', '10205FE010002A85', '-0.146', '-0.755', '-9.823', '13.116', '2.590', '-12.889', '0.048', '-0.402', '-0.361', '-84']
[1546720825.858382, '192.168.50.145', '24.18', '10205FE010002A7B', '0.048', '-1.326', '-9.278', '10.150', '13.274', '-3.981', '0.064', '-0.406', '-0.368', '-81']
[1546720825.8737283, '192.168.50.145', '12.28', '10205FE010002C95', '0.048', '-1.326', '-9.278', '10.150', '13.274', '-3.981', '0.064', '-0.406', '-0.368', '-91']
[1546720826.0814219, '192.168.50.145', '0.82', '10205FE010002BEB', '0.599', '-1.601', '-9.678', '0.962', '1.435', '-8.566', '0.058', '-0.406', '-0.367', '-80']
[1546720826.2221653, '192.168.50.145', '10.12', '10205FE010002C92', '0.520', '-1.545', '-9.820', '7.534', '4.716', '-2.861', '0.068', '-0.409', '-0.367', '-97']
[1546720826.608056, '192.168.50.145', '9.94', '10205FE010002C92', '0.286', '-1.844', '-9.200', '2.721', '6.694', '5.084', '0.071', '-0.395', '-0.375', '-96']
[1546720826.732243, '192.168.50.145', '10.08', '10205FE010002C92', '-0.450', '-1.510', '-10.256', '16.354', '11.498', '-8.627', '0.074', '-0.396', '-0.375', '-97']
[1546720827.4452841, '192.168.50.145', '24.25', '10205FE010002A7B', '0.281', '-2.666', '-10.366', '4.436', '0.053', '-14.140', '0.061', '-0.450', '-0.363', '-81']
[1546720827.7898514, '192.168.50.145', '24.35', '10205FE010002A7B', '-0.961', '-0.646', '-9.062', '-9.739', '-1.846', '-2.214', '0.053', '-0.446', '-0.371', '-81']
[1546720827.8985536, '192.168.50.145', '15.15', '10205FE0100031F3', '-0.731', '-2.022', '-8.765', '14.901', '4.392', '-1.942', '0.063', '-0.446', '-0.363', '-92']
[1546720827.9141622, '192.168.50.145', '25.90', '10205FE010002A85', '-0.731', '-2.022', '-8.765', '14.901', '4.392', '-1.942', '0.063', '-0.446', '-0.363', '-82']
[1546720828.2907326, '192.168.50.145', '12.53', '10205FE010002C95', '-0.245', '-1.545', '-8.590', '16.861', '-11.121', '5.591', '0.059', '-0.456', '-0.359', '-92']
[1546720828.795131, '192.168.50.145', '24.42', '10205FE010002A7B', '-0.583', '-0.815', '-11.935', '-7.044', '12.670', '1.951', '0.050', '-0.444', '-0.376', '-82']
[1546720828.891552, '192.168.50.145', '66.53', '10205FE010002A85', '-0.889', '-1.827', '-8.035', '-11.760', '2.695', '-0.788', '0.054', '-0.456', '-0.370', '-111']
[1546720828.906248, '192.168.50.145', '24.37', '10205FE010002A7B', '-0.889', '-1.827', '-8.035', '-11.760', '2.695', '-0.788', '0.054', '-0.456', '-0.370', '-82']
[1546720829.5302606, '192.168.50.145', '24.44', '10205FE010002A7B', '-0.341', '-1.674', '-8.012', '-21.298', '8.724', '21.805', '0.063', '-0.440', '-0.388', '-84']
[1546720829.646998, '192.168.50.145', '25.06', '10205FE010002A85', '0.334', '-2.268', '-8.334', '0.796', '-7.280', '-1.225', '0.057', '-0.435', '-0.390', '-83']
[1546720829.6623113, '192.168.50.145', '24.54', '10205FE010002A7B', '0.334', '-2.268', '-8.334', '0.796', '-7.280', '-1.225', '0.057', '-0.435', '-0.390', '-82']
[1546720830.4904027, '192.168.50.145', '24.85', '10205FE010002A85', '-0.023', '-1.937', '-8.212', '-12.556', '3.054', '13.038', '0.068', '-0.457', '-0.392', '-82']
[1546720830.5058844, '192.168.50.145', '24.63', '10205FE010002A7B', '-0.023', '-1.937', '-8.212', '-12.556', '3.054', '13.038', '0.068', '-0.457', '-0.392', '-84']
[1546720830.6272953, '192.168.50.145', '24.88', '10205FE010002A85', '-0.030', '-1.695', '-7.627', '1.059', '-2.494', '4.891', '0.060', '-0.451', '-0.396', '-83']
[1546720830.8635795, '192.168.50.145', '5.58', '10205FE010002BEB', '-0.280', '-0.656', '-11.493', '3.894', '1.059', '-9.555', '0.049', '-0.461', '-0.402', '-83']
[1546720830.977182, '192.168.50.145', '24.81', '10205FE010002A7B', '0.465', '-0.337', '-12.260', '-12.661', '2.949', '-8.496', '0.062', '-0.457', '-0.396', '-82']
[1546720830.992495, '192.168.50.145', '13.37', '10205FE010002C95', '-0.683', '-0.757', '-9.381', '12.714', '29.444', '-4.699', '0.070', '-0.463', '-0.395', '-91']
[1546720831.1087067, '192.168.50.145', '24.92', '10205FE010002A7B', '-0.273', '-0.788', '-9.199', '-7.114', '0.892', '-2.634', '0.074', '-0.456', '-0.398', '-82']
[1546720831.124127, '192.168.50.145', '13.48', '10205FE010002C95', '-0.261', '-0.631', '-8.512', '9.222', '-12.119', '-6.571', '0.073', '-0.457', '-0.400', '-89']
[1546720831.2351604, '192.168.50.145', '24.65', '10205FE010002A85', '-0.763', '-1.279', '-7.693', '28.910', '17.535', '6.116', '0.074', '-0.464', '-0.396', '-81']
[1546720831.250528, '192.168.50.145', '24.90', '10205FE010002A7B', '0.435', '-2.613', '-7.833', '-5.679', '-5.084', '8.557', '0.073', '-0.467', '-0.392', '-83']
[1546720831.3714912, '192.168.50.145', '24.62', '10205FE010002A85', '0.044', '-1.579', '-10.872', '14.464', '3.447', '3.640', '0.068', '-0.475', '-0.391', '-82']
[1546720831.3867893, '192.168.50.145', '24.92', '10205FE010002A7B', '0.044', '-1.579', '-10.872', '14.464', '3.447', '3.640', '0.068', '-0.475', '-0.391', '-83']
[1546720831.7210798, '192.168.50.145', '13.72', '10205FE010002C95', '-0.194', '-1.774', '-7.419', '9.887', '-4.349', '5.040', '0.049', '-0.471', '-0.393', '-92']
