[1546720941.9641135, '192.168.50.145', '0.67', '10205FE010002BEB', '0.019', '-1.073', '-9.645', '0.140', '-2.433', '-1.628', '0.052', '-0.396', '-0.358', '-81']
[1546720942.0997734, '192.168.50.145', '0.64', '10205FE010002BEB', '0.140', '-1.059', '-9.696', '-0.394', '-7.892', '-4.637', '0.055', '-0.398', '-0.356', '-81']
[1546720942.233435, '192.168.50.145', '0.74', '10205FE010002BEB', '0.081', '-1.088', '-9.619', '-5.469', '-3.509', '-0.543', '0.046', '-0.393', '-0.372', '-81']
[1546720942.6260998, '192.168.50.145', '58.56', '10205FE0100031F3', '-0.516', '-1.408', '-9.367', '-2.747', '5.477', '-1.418', '0.058', '-0.378', '-0.368', '-114']
[1546720943.1069205, '192.168.50.145', '26.06', '10205FE010002A85', '-0.502', '-1.360', '-11.008', '3.964', '-3.369', '7.245', '0.075', '-0.381', '-0.369', '-87']
[1546720943.450262, '192.168.50.145', '24.23', '10205FE010002A7B', '0.207', '-1.871', '-7.137', '9.826', '-7.420', '8.575', '0.058', '-0.413', '-0.358', '-82']
[1546720943.464491, '192.168.50.145', '12.48', '10205FE010002C95', '0.207', '-1.871', '-7.137', '9.826', '-7.420', '8.575', '0.058', '-0.413', '-0.358', '-89']
[1546720943.5942283, '192.168.50.145', '24.27', '10205FE010002A7B', '-0.189', '-2.099', '-9.111', '5.285', '-17.666', '-7.525', '0.041', '-0.413', '-0.370', '-82']
[1546720944.0506806, '192.168.50.145', '24.29', '10205FE010002A7B', '-0.821', '-1.070', '-7.480', '3.316', '22.628', '-0.892', '0.078', '-0.406', '-0.380', '-81']
[1546720944.180088, '192.168.50.145', '25.75', '10205FE010002A85', '-0.018', '-1.438', '-10.051', '18.769', '-2.494', '0.166', '0.084', '-0.414', '-0.370', '-82']
[1546720944.405006, '192.168.50.145', '12.74', '10205FE010002C95', '0.968', '1.229', '-13.001', '17.544', '-11.419', '12.337', '0.081', '-0.410', '-0.377', '-97']
[1546720944.5513272, '192.168.50.145', '24.27', '10205FE010002A7B', '-0.117', '-0.286', '-8.395', '24.859', '-4.419', '-3.973', '0.052', '-0.416', '-0.379', '-85']
[1546720944.6646369, '192.168.50.145', '25.44', '10205FE010002A85', '0.427', '-1.973', '-8.361', '23.949', '3.378', '-14.420', '0.061', '-0.422', '-0.373', '-83']
[1546720945.0628953, '192.168.50.145', '3.58', '10205FE010002BEB', '0.170', '-0.066', '-8.112', '1.339', '3.360', '3.421', '0.048', '-0.424', '-0.375', '-84']
[1546720945.1597579, '192.168.50.145', '25.18', '10205FE010002A85', '-0.943', '-1.943', '-7.284', '1.129', '24.465', '17.089', '0.048', '-0.431', '-0.379', '-82']
[1546720945.1737814, '192.168.50.145', '24.51', '10205FE010002A7B', '-0.943', '-1.943', '-7.284', '1.129', '24.465', '17.089', '0.048', '-0.431', '-0.379', '-84']
[1546720945.2994852, '192.168.50.145', '25.22', '10205FE010002A85', '-0.190', '-0.662', '-12.385', '7.262', '-21.525', '-0.018', '0.031', '-0.434', '-0.391', '-81']
[1546720945.4276407, '192.168.50.145', '25.15', '10205FE010002A85', '0.657', '-0.258', '-11.198', '-1.129', '-12.285', '10.526', '0.019', '-0.426', '-0.391', '-83']
[1546720945.7697022, '192.168.50.145', '6.62', '10205FE010002C92', '0.360', '-2.264', '-10.574', '40.373', '-8.767', '-4.375', '-0.007', '-0.449', '-0.404', '-90']
[1546720945.8937802, '192.168.50.145', '6.38', '10205FE010002C92', '-0.366', '-1.771', '-11.432', '-14.962', '2.642', '-5.880', '0.016', '-0.457', '-0.380', '-91']
[1546720946.0398047, '192.168.50.145', '6.20', '10205FE010002C92', '-0.063', '-1.580', '-7.780', '-8.365', '-10.238', '-0.245', '0.020', '-0.452', '-0.380', '-91']
[1546720946.260288, '192.168.50.145', '24.87', '10205FE010002A85', '-1.040', '-1.723', '-9.434', '13.930', '9.257', '5.994', '0.016', '-0.451', '-0.390', '-83']
[1546720946.4816768, '192.168.50.145', '13.31', '10205FE010002C95', '0.483', '-0.812', '-9.103', '-17.273', '-15.347', '17.614', '-0.003', '-0.451', '-0.388', '-89']
[1546720946.5953112, '192.168.50.145', '24.77', '10205FE010002A7B', '-0.334', '-0.759', '-8.924', '-9.695', '-1.435', '4.690', '-0.007', '-0.443', '-0.400', '-81']
[1546720946.7239397, '192.168.50.145', '24.91', '10205FE010002A7B', '-0.103', '-1.898', '-9.668', '12.810', '-0.630', '9.861', '-0.021', '-0.455', '-0.401', '-81']
[1546720946.9595659, '192.168.50.145', '24.95', '10205FE010002A7B', '-0.154', '-0.457', '-11.951', '4.384', '-4.436', '-11.524', '-0.005', '-0.467', '-0.383', '-81']
[1546720947.080652, '192.168.50.145', '25.01', '10205FE010002A7B', '-0.847', '-0.882', '-8.244', '-6.764', '17.246', '-1.741', '0.004', '-0.464', '-0.390', '-81']
[1546720947.095373, '192.168.50.145', '13.63', '10205FE010002C95', '-0.547', '-0.656', '-8.043', '3.465', '-4.716', '-4.559', '0.001', '-0.461', '-0.392', '-90']
[1546720947.109915, '192.168.50.145', '6.31', '10205FE010002BEB', '-0.547', '-0.656', '-8.043', '3.465', '-4.716', '-4.559', '0.001', '-0.461', '-0.392', '-82']
[1546720947.4992192, '192.168.50.145', '24.54', '10205FE010002A85', '-0.151', '-1.433', '-8.979', '-20.519', '-0.070', '17.456', '0.004', '-0.470', '-0.384', '-83']
[1546720947.6216948, '192.168.50.145', '12.98', '10205FE0100031F3', '-0.406', '-1.434', '-7.291', '-2.371', '1.584', '-2.240', '0.000', '-0.461', '-0.388', '-86']
[1546720947.748781, '192.168.50.145', '3.95', '10205FE010002C92', '-0.234', '-1.943', '-9.422', '16.914', '8.741', '3.395', '-0.000', '-0.464', '-0.388', '-86']
[1546720948.125925, '192.168.50.145', '12.90', '10205FE0100031F3', '-0.634', '-0.631', '-8.246', '6.554', '0.403', '-12.023', '0.000', '-0.470', '-0.391', '-87']
