['1553383319392', '192.168.50.145', 'NA', 'NA', '0.203', '0.142', '-9.943', '-1.925', '-2.494', '-4.786', '-0.065', '-0.296', '-0.488', '1021.99', 'NA']
['1553383319414', '192.168.50.145', 'NA', 'NA', '0.203', '0.142', '-9.943', '-1.925', '-2.494', '-4.786', '-0.065', '-0.296', '-0.488', '1021.99', 'NA']
['1553383319436', '192.168.50.145', 'NA', 'NA', '0.203', '0.142', '-9.943', '-1.925', '-2.494', '-4.786', '-0.065', '-0.296', '-0.488', '1021.99', 'NA']
['1553383319458', '192.168.50.145', 'NA', 'NA', '0.083', '0.201', '-9.925', '-4.174', '-4.436', '-4.366', '-0.058', '-0.301', '-0.481', '1021.93', 'NA']
['1553383319480', '192.168.50.145', 'NA', 'NA', '0.083', '0.201', '-9.925', '-4.174', '-4.436', '-4.366', '-0.058', '-0.301', '-0.481', '1021.93', 'NA']
['1553383319501', '192.168.50.145', 'NA', 'NA', '0.083', '0.201', '-9.925', '-4.174', '-4.436', '-4.366', '-0.058', '-0.301', '-0.481', '1021.93', 'NA']
['1553383319522', '192.168.50.145', 'NA', 'NA', '-0.048', '0.207', '-9.842', '-2.704', '-2.599', '-4.471', '-0.057', '-0.299', '-0.471', '1021.94', 'NA']
['1553383319544', '192.168.50.145', 'NA', 'NA', '-0.048', '0.207', '-9.842', '-2.704', '-2.599', '-4.471', '-0.057', '-0.299', '-0.471', '1021.94', 'NA']
['1553383319566', '192.168.50.145', 'NA', 'NA', '-0.122', '0.183', '-9.862', '-1.278', '-1.741', '-3.754', '-0.059', '-0.297', '-0.471', '1021.88', 'NA']
['1553383319588', '192.168.50.145', 'NA', 'NA', '-0.122', '0.183', '-9.862', '-1.278', '-1.741', '-3.754', '-0.059', '-0.297', '-0.471', '1021.88', 'NA']
['1553383319610', '192.168.50.145', 'NA', 'NA', '-0.122', '0.183', '-9.862', '-1.278', '-1.741', '-3.754', '-0.059', '-0.297', '-0.471', '1021.88', 'NA']
