[1552672392.599112, '192.168.50.145', '0.370', '0.392', '-9.814', '-1.732', '-1.461', '-4.629', '-0.304', '-0.084', '-0.913']
[1552672392.6197605, '192.168.50.145', '0.439', '0.397', '-9.790', '-1.829', '-1.330', '-4.760', '-0.296', '-0.090', '-0.887']
[1552672392.6399934, '192.168.50.145', '0.439', '0.397', '-9.790', '-1.829', '-1.330', '-4.760', '-0.296', '-0.090', '-0.887']
[1552672392.661111, '192.168.50.145', '0.439', '0.397', '-9.790', '-1.829', '-1.330', '-4.760', '-0.296', '-0.090', '-0.887']
[1552672392.6820736, '192.168.50.145', '0.418', '0.389', '-9.854', '-1.881', '-1.785', '-4.891', '-0.294', '-0.088', '-0.892']
[1552672392.7035513, '192.168.50.145', '0.418', '0.389', '-9.854', '-1.881', '-1.785', '-4.891', '-0.294', '-0.088', '-0.892']
[1552672392.7246895, '192.168.50.145', '0.418', '0.389', '-9.854', '-1.881', '-1.785', '-4.891', '-0.294', '-0.088', '-0.892']
[1552672392.7459006, '192.168.50.145', '0.394', '0.384', '-9.788', '-1.724', '-1.339', '-4.847', '-0.290', '-0.086', '-0.886']
[1552672392.7714362, '192.168.50.145', '0.394', '0.384', '-9.788', '-1.724', '-1.339', '-4.847', '-0.290', '-0.086', '-0.886']
[1552672392.7926102, '192.168.50.145', '0.394', '0.384', '-9.788', '-1.724', '-1.339', '-4.847', '-0.290', '-0.086', '-0.886']
[1552672392.8180707, '192.168.50.145', '0.449', '0.363', '-9.799', '-2.152', '-1.663', '-4.629', '-0.289', '-0.094', '-0.886']
[1552672392.8392315, '192.168.50.145', '0.449', '0.363', '-9.799', '-2.152', '-1.663', '-4.629', '-0.289', '-0.094', '-0.886']
[1552672392.8618119, '192.168.50.145', '0.449', '0.363', '-9.799', '-2.152', '-1.663', '-4.629', '-0.289', '-0.094', '-0.886']
[1552672392.8958151, '192.168.50.145', '0.391', '0.391', '-9.791', '-1.811', '-1.470', '-4.961', '-0.293', '-0.091', '-0.896']
[1552672392.9169981, '192.168.50.145', '0.391', '0.391', '-9.791', '-1.811', '-1.470', '-4.961', '-0.293', '-0.091', '-0.896']
[1552672392.9422436, '192.168.50.145', '0.348', '0.416', '-9.765', '4.296', '-8.216', '-6.519', '-0.286', '-0.098', '-0.888']
[1552672392.9634924, '192.168.50.145', '0.348', '0.416', '-9.765', '4.296', '-8.216', '-6.519', '-0.286', '-0.098', '-0.888']
[1552672392.9889464, '192.168.50.145', '0.558', '0.095', '-10.015', '-3.062', '-1.269', '-4.323', '-0.288', '-0.096', '-0.886']
[1552672393.0100741, '192.168.50.145', '0.558', '0.095', '-10.015', '-3.062', '-1.269', '-4.323', '-0.288', '-0.096', '-0.886']
[1552672393.0418007, '192.168.50.145', '0.558', '0.095', '-10.015', '-3.062', '-1.269', '-4.323', '-0.288', '-0.096', '-0.886']
[1552672393.0620763, '192.168.50.145', '-0.949', '0.043', '-10.610', '4.742', '-45.194', '4.209', '-0.313', '-0.098', '-0.884']
[1552672393.0832686, '192.168.50.145', '-0.949', '0.043', '-10.610', '4.742', '-45.194', '4.209', '-0.313', '-0.098', '-0.884']
[1552672393.1035163, '192.168.50.145', '-0.949', '0.043', '-10.610', '4.742', '-45.194', '4.209', '-0.313', '-0.098', '-0.884']
[1552672393.1246612, '192.168.50.145', '0.309', '0.476', '-11.165', '56.849', '-38.211', '28.455', '-0.325', '-0.124', '-0.866']
[1552672393.1458952, '192.168.50.145', '0.309', '0.476', '-11.165', '56.849', '-38.211', '28.455', '-0.325', '-0.124', '-0.866']
[1552672393.1670983, '192.168.50.145', '0.309', '0.476', '-11.165', '56.849', '-38.211', '28.455', '-0.325', '-0.124', '-0.866']
[1552672393.1882236, '192.168.50.145', '0.589', '0.333', '-11.908', '212.345', '-135.511', '15.540', '-0.388', '-0.269', '-0.758']
[1552672393.2094028, '192.168.50.145', '0.589', '0.333', '-11.908', '212.345', '-135.511', '15.540', '-0.388', '-0.269', '-0.758']
[1552672393.2305894, '192.168.50.145', '0.589', '0.333', '-11.908', '212.345', '-135.511', '15.540', '-0.388', '-0.269', '-0.758']
[1552672393.251758, '192.168.50.145', '-0.747', '-4.439', '-11.385', '213.999', '-255.342', '43.916', '-0.452', '-0.397', '-0.563']
[1552672393.2729588, '192.168.50.145', '-0.747', '-4.439', '-11.385', '213.999', '-255.342', '43.916', '-0.452', '-0.397', '-0.563']
[1552672393.2941318, '192.168.50.145', '-0.747', '-4.439', '-11.385', '213.999', '-255.342', '43.916', '-0.452', '-0.397', '-0.563']
[1552672393.3153927, '192.168.50.145', '-5.481', '-5.034', '-7.139', '89.521', '-228.576', '112.105', '-0.514', '-0.417', '-0.337']
[1552672393.3365889, '192.168.50.145', '-5.481', '-5.034', '-7.139', '89.521', '-228.576', '112.105', '-0.514', '-0.417', '-0.337']
[1552672393.3577585, '192.168.50.145', '-5.481', '-5.034', '-7.139', '89.521', '-228.576', '112.105', '-0.514', '-0.417', '-0.337']
[1552672393.3788981, '192.168.50.145', '-6.073', '-4.945', '-4.269', '76.659', '-202.178', '74.664', '-0.519', '-0.381', '-0.131']
[1552672393.4020286, '192.168.50.145', '-6.073', '-4.945', '-4.269', '76.659', '-202.178', '74.664', '-0.519', '-0.381', '-0.131']
[1552672393.423173, '192.168.50.145', '-6.073', '-4.945', '-4.269', '76.659', '-202.178', '74.664', '-0.519', '-0.381', '-0.131']
[1552672393.4443555, '192.168.50.145', '-7.616', '-3.704', '-4.885', '-33.469', '-136.010', '79.739', '-0.477', '-0.319', '-0.007']
[1552672393.465451, '192.168.50.145', '-7.616', '-3.704', '-4.885', '-33.469', '-136.010', '79.739', '-0.477', '-0.319', '-0.007']
[1552672393.4865713, '192.168.50.145', '-7.862', '-3.907', '-3.332', '-159.232', '-59.159', '113.295', '-0.450', '-0.269', '0.005']
[1552672393.5076203, '192.168.50.145', '-7.862', '-3.907', '-3.332', '-159.232', '-59.159', '113.295', '-0.450', '-0.269', '0.005']
[1552672393.52868, '192.168.50.145', '-7.862', '-3.907', '-3.332', '-159.232', '-59.159', '113.295', '-0.450', '-0.269', '0.005']
[1552672393.5497358, '192.168.50.145', '-7.829', '-2.835', '-4.350', '-188.072', '98.332', '108.404', '-0.433', '-0.215', '-0.036']
[1552672393.5708265, '192.168.50.145', '-7.829', '-2.835', '-4.350', '-188.072', '98.332', '108.404', '-0.433', '-0.215', '-0.036']
[1552672393.5918937, '192.168.50.145', '-7.829', '-2.835', '-4.350', '-188.072', '98.332', '108.404', '-0.433', '-0.215', '-0.036']
[1552672393.6129494, '192.168.50.145', '-7.875', '-0.001', '-2.802', '-286.685', '162.348', '75.014', '-0.413', '-0.178', '-0.138']
[1552672393.6339822, '192.168.50.145', '-7.875', '-0.001', '-2.802', '-286.685', '162.348', '75.014', '-0.413', '-0.178', '-0.138']
[1552672393.6551003, '192.168.50.145', '-7.875', '-0.001', '-2.802', '-286.685', '162.348', '75.014', '-0.413', '-0.178', '-0.138']
[1552672393.676439, '192.168.50.145', '-8.008', '2.764', '-2.369', '-171.098', '175.262', '122.692', '-0.387', '-0.103', '-0.204']
[1552672393.6981282, '192.168.50.145', '-8.008', '2.764', '-2.369', '-171.098', '175.262', '122.692', '-0.387', '-0.103', '-0.204']
[1552672393.719829, '192.168.50.145', '-8.008', '2.764', '-2.369', '-171.098', '175.262', '122.692', '-0.387', '-0.103', '-0.204']
[1552672393.741657, '192.168.50.145', '-6.672', '3.527', '-2.668', '-263.121', '192.246', '123.016', '-0.343', '-0.014', '-0.267']
[1552672393.7634177, '192.168.50.145', '-6.672', '3.527', '-2.668', '-263.121', '192.246', '123.016', '-0.343', '-0.014', '-0.267']
[1552672393.785133, '192.168.50.145', '-6.672', '3.527', '-2.668', '-263.121', '192.246', '123.016', '-0.343', '-0.014', '-0.267']
[1552672393.8068187, '192.168.50.145', '-3.747', '6.717', '-2.527', '-218.811', '286.615', '184.380', '-0.274', '0.086', '-0.306']
[1552672393.8286045, '192.168.50.145', '-3.747', '6.717', '-2.527', '-218.811', '286.615', '184.380', '-0.274', '0.086', '-0.306']
[1552672393.8503387, '192.168.50.145', '-3.747', '6.717', '-2.527', '-218.811', '286.615', '184.380', '-0.274', '0.086', '-0.306']
[1552672393.8720562, '192.168.50.145', '-2.588', '7.472', '-0.494', '-193.436', '282.021', '188.195', '-0.094', '0.223', '-0.318']
[1552672393.9019997, '192.168.50.145', '-2.588', '7.472', '-0.494', '-193.436', '282.021', '188.195', '-0.094', '0.223', '-0.318']
[1552672393.9237626, '192.168.50.145', '-0.591', '8.273', '-0.037', '-153.738', '192.605', '157.990', '0.010', '0.280', '-0.280']
[1552672393.945458, '192.168.50.145', '-0.591', '8.273', '-0.037', '-153.738', '192.605', '157.990', '0.010', '0.280', '-0.280']
[1552672393.9671843, '192.168.50.145', '-0.591', '8.273', '-0.037', '-153.738', '192.605', '157.990', '0.010', '0.280', '-0.280']
[1552672393.9889407, '192.168.50.145', '3.415', '8.372', '1.131', '-108.946', '193.769', '219.494', '0.133', '0.296', '-0.219']
[1552672394.0107648, '192.168.50.145', '3.415', '8.372', '1.131', '-108.946', '193.769', '219.494', '0.133', '0.296', '-0.219']
[1552672394.0325093, '192.168.50.145', '3.415', '8.372', '1.131', '-108.946', '193.769', '219.494', '0.133', '0.296', '-0.219']
[1552672394.0542026, '192.168.50.145', '3.836', '7.572', '2.465', '-80.080', '201.696', '244.527', '0.257', '0.269', '-0.157']
[1552672394.0778615, '192.168.50.145', '3.836', '7.572', '2.465', '-80.080', '201.696', '244.527', '0.257', '0.269', '-0.157']
[1552672394.0998204, '192.168.50.145', '3.836', '7.572', '2.465', '-80.080', '201.696', '244.527', '0.257', '0.269', '-0.157']
[1552672394.1216047, '192.168.50.145', '5.685', '5.746', '3.698', '-240.494', '164.596', '196.105', '0.356', '0.200', '-0.047']
[1552672394.1553373, '192.168.50.145', '5.685', '5.746', '3.698', '-240.494', '164.596', '196.105', '0.356', '0.200', '-0.047']
[1552672394.1867251, '192.168.50.145', '7.381', '2.070', '6.842', '-207.148', '63.464', '142.240', '0.413', '0.110', '0.036']
[1552672394.2087028, '192.168.50.145', '7.381', '2.070', '6.842', '-207.148', '63.464', '142.240', '0.413', '0.110', '0.036']
[1552672394.2304971, '192.168.50.145', '7.381', '2.070', '6.842', '-207.148', '63.464', '142.240', '0.413', '0.110', '0.036']
[1552672394.2512848, '192.168.50.145', '8.276', '1.515', '7.066', '-242.620', '-26.136', '38.491', '0.444', '0.001', '0.098']
[1552672394.273103, '192.168.50.145', '8.276', '1.515', '7.066', '-242.620', '-26.136', '38.491', '0.444', '0.001', '0.098']
[1552672394.2953205, '192.168.50.145', '8.404', '-1.749', '9.897', '-286.589', '-23.161', '-99.033', '0.448', '-0.038', '0.099']
[1552672394.321985, '192.168.50.145', '8.404', '-1.749', '9.897', '-286.589', '-23.161', '-99.033', '0.448', '-0.038', '0.099']
