['1552699251774', '192.168.50.145', 'NA', 'NA', '0.698', '-1.189', '-10.030', '-2.765', '-2.126', '-1.146', '-0.248', '0.488', '-0.906', '1028.30', 'NA']
['1552699251796', '192.168.50.145', 'NA', 'NA', '0.698', '-1.189', '-10.030', '-2.765', '-2.126', '-1.146', '-0.248', '0.488', '-0.906', '1028.30', 'NA']
['1552699251831', '192.168.50.145', 'NA', 'NA', '0.760', '-1.149', '-9.972', '-2.651', '-2.415', '-1.487', '-0.238', '0.488', '-0.893', '1028.31', 'NA']
['1552699251854', '192.168.50.145', 'NA', 'NA', '0.760', '-1.149', '-9.972', '-2.651', '-2.415', '-1.487', '-0.238', '0.488', '-0.893', '1028.31', 'NA']
['1552699251881', '192.168.50.145', '25.10', '10205FE010002C95', '0.760', '-1.149', '-9.972', '-2.651', '-2.415', '-1.487', '-0.238', '0.488', '-0.893', '1028.31', '-97']
['1552699251904', '192.168.50.145', 'NA', 'NA', '0.810', '-0.955', '-10.000', '-2.634', '-1.321', '-1.575', '-0.247', '0.491', '-0.893', '1028.37', 'NA']
['1552699251937', '192.168.50.145', 'NA', 'NA', '0.810', '-0.955', '-10.000', '-2.634', '-1.321', '-1.575', '-0.247', '0.491', '-0.893', '1028.37', 'NA']
['1552699251959', '192.168.50.145', 'NA', 'NA', '0.751', '-1.164', '-9.955', '-3.229', '-1.960', '-1.190', '-0.243', '0.488', '-0.903', '1028.37', 'NA']
['1552699251993', '192.168.50.145', 'NA', 'NA', '0.751', '-1.164', '-9.955', '-3.229', '-1.960', '-1.190', '-0.243', '0.488', '-0.903', '1028.37', 'NA']
['1552699252016', '192.168.50.145', 'NA', 'NA', '0.836', '-0.980', '-10.016', '-3.229', '-1.015', '-1.225', '-0.247', '0.489', '-0.901', '1028.28', 'NA']
['1552699252050', '192.168.50.145', 'NA', 'NA', '0.836', '-0.980', '-10.016', '-3.229', '-1.015', '-1.225', '-0.247', '0.489', '-0.901', '1028.28', 'NA']
['1552699252066', '192.168.50.145', '17.58', '10205FE010002BEB', '0.836', '-0.980', '-10.016', '-3.229', '-1.015', '-1.225', '-0.247', '0.489', '-0.901', '1028.28', '-112']
['1552699252099', '192.168.50.145', 'NA', 'NA', '0.727', '-1.200', '-9.986', '-3.299', '-1.759', '-1.374', '-0.238', '0.481', '-0.891', '1028.30', 'NA']
['1552699252121', '192.168.50.145', 'NA', 'NA', '0.727', '-1.200', '-9.986', '-3.299', '-1.759', '-1.374', '-0.238', '0.481', '-0.891', '1028.30', 'NA']
['1552699252155', '192.168.50.145', 'NA', 'NA', '0.796', '-1.018', '-9.977', '-3.141', '-2.389', '-1.400', '-0.241', '0.481', '-0.896', '1028.35', 'NA']
['1552699252177', '192.168.50.145', 'NA', 'NA', '0.796', '-1.018', '-9.977', '-3.141', '-2.389', '-1.400', '-0.241', '0.481', '-0.896', '1028.35', 'NA']
['1552699252211', '192.168.50.145', 'NA', 'NA', '0.846', '-0.960', '-9.917', '-2.704', '-2.030', '-1.129', '-0.238', '0.491', '-0.892', '1028.37', 'NA']
['1552699252234', '192.168.50.145', 'NA', 'NA', '0.846', '-0.960', '-9.917', '-2.704', '-2.030', '-1.129', '-0.238', '0.491', '-0.892', '1028.37', 'NA']
['1552699252268', '192.168.50.145', 'NA', 'NA', '0.708', '-1.153', '-9.943', '-2.984', '-2.406', '-1.251', '-0.238', '0.482', '-0.891', '1028.34', 'NA']
['1552699252290', '192.168.50.145', 'NA', 'NA', '0.708', '-1.153', '-9.943', '-2.984', '-2.406', '-1.251', '-0.238', '0.482', '-0.891', '1028.34', 'NA']
['1552699252324', '192.168.50.145', 'NA', 'NA', '0.708', '-1.153', '-9.943', '-2.984', '-2.406', '-1.251', '-0.238', '0.482', '-0.891', '1028.34', 'NA']
['1552699252346', '192.168.50.145', 'NA', 'NA', '0.863', '-0.970', '-9.832', '-2.809', '-1.794', '-1.164', '-0.241', '0.489', '-0.895', '1028.35', 'NA']
['1552699252380', '192.168.50.145', 'NA', 'NA', '0.863', '-0.970', '-9.832', '-2.809', '-1.794', '-1.164', '-0.241', '0.489', '-0.895', '1028.35', 'NA']
['1552699252403', '192.168.50.145', 'NA', 'NA', '0.651', '-1.116', '-9.884', '-3.176', '-1.680', '-1.321', '-0.250', '0.483', '-0.894', '1028.24', 'NA']
['1552699252437', '192.168.50.145', 'NA', 'NA', '0.651', '-1.116', '-9.884', '-3.176', '-1.680', '-1.321', '-0.250', '0.483', '-0.894', '1028.24', 'NA']
['1552699252460', '192.168.50.145', 'NA', 'NA', '0.853', '-0.936', '-9.826', '-3.159', '-1.094', '-1.435', '-0.241', '0.488', '-0.901', '1028.33', 'NA']
['1552699252494', '192.168.50.145', 'NA', 'NA', '0.853', '-0.936', '-9.826', '-3.159', '-1.094', '-1.435', '-0.241', '0.488', '-0.901', '1028.33', 'NA']
['1552699252517', '192.168.50.145', 'NA', 'NA', '0.645', '-1.078', '-9.825', '-3.098', '-1.811', '-1.374', '-0.249', '0.487', '-0.897', '1028.32', 'NA']
['1552699252551', '192.168.50.145', 'NA', 'NA', '0.645', '-1.078', '-9.825', '-3.098', '-1.811', '-1.374', '-0.249', '0.487', '-0.897', '1028.32', 'NA']
['1552699252574', '192.168.50.145', 'NA', 'NA', '0.694', '-1.076', '-9.795', '-3.246', '-2.196', '-1.374', '-0.242', '0.484', '-0.893', '1028.34', 'NA']
['1552699252608', '192.168.50.145', 'NA', 'NA', '0.694', '-1.076', '-9.795', '-3.246', '-2.196', '-1.374', '-0.242', '0.484', '-0.893', '1028.34', 'NA']
['1552699252631', '192.168.50.145', 'NA', 'NA', '0.895', '-0.949', '-9.762', '-2.669', '-1.934', '-1.164', '-0.241', '0.488', '-0.896', '1028.30', 'NA']
['1552699252665', '192.168.50.145', 'NA', 'NA', '0.895', '-0.949', '-9.762', '-2.669', '-1.934', '-1.164', '-0.241', '0.488', '-0.896', '1028.30', 'NA']
['1552699252688', '192.168.50.145', 'NA', 'NA', '0.705', '-1.053', '-9.759', '-2.975', '-2.459', '-1.234', '-0.243', '0.488', '-0.893', '1028.33', 'NA']
['1552699252722', '192.168.50.145', 'NA', 'NA', '0.705', '-1.053', '-9.759', '-2.975', '-2.459', '-1.234', '-0.243', '0.488', '-0.893', '1028.33', 'NA']
['1552699252738', '192.168.50.145', '10.99', '10205FE010002BEB', '0.705', '-1.053', '-9.759', '-2.975', '-2.459', '-1.234', '-0.243', '0.488', '-0.893', '1028.33', '-91']
['1552699252771', '192.168.50.145', 'NA', 'NA', '0.896', '-1.001', '-9.689', '-2.818', '-1.269', '-1.312', '-0.239', '0.490', '-0.892', '1028.39', 'NA']
['1552699252793', '192.168.50.145', 'NA', 'NA', '0.896', '-1.001', '-9.689', '-2.818', '-1.269', '-1.312', '-0.239', '0.490', '-0.892', '1028.39', 'NA']
['1552699252832', '192.168.50.145', 'NA', 'NA', '0.687', '-1.097', '-9.808', '-3.115', '-1.794', '-1.470', '-0.239', '0.483', '-0.892', '1028.28', 'NA']
['1552699252854', '192.168.50.145', 'NA', 'NA', '0.687', '-1.097', '-9.808', '-3.115', '-1.794', '-1.470', '-0.239', '0.483', '-0.892', '1028.28', 'NA']
['1552699252882', '192.168.50.145', '25.03', '10205FE010002C95', '0.687', '-1.097', '-9.808', '-3.115', '-1.794', '-1.470', '-0.239', '0.483', '-0.892', '1028.28', '-98']
['1552699252898', '192.168.50.145', '10.98', '10205FE010002BEB', '0.884', '-0.962', '-9.645', '-3.535', '-1.575', '-1.312', '-0.239', '0.481', '-0.891', '1028.32', '-91']
['1552699252921', '192.168.50.145', 'NA', 'NA', '0.884', '-0.962', '-9.645', '-3.535', '-1.575', '-1.312', '-0.239', '0.481', '-0.891', '1028.32', 'NA']
['1552699252956', '192.168.50.145', 'NA', 'NA', '0.930', '-0.979', '-9.644', '-3.124', '-2.065', '-1.584', '-0.243', '0.491', '-0.894', '1028.35', 'NA']
['1552699252978', '192.168.50.145', 'NA', 'NA', '0.930', '-0.979', '-9.644', '-3.124', '-2.065', '-1.584', '-0.243', '0.491', '-0.894', '1028.35', 'NA']
['1552699253013', '192.168.50.145', 'NA', 'NA', '0.688', '-1.009', '-9.760', '-3.010', '-2.467', '-1.129', '-0.237', '0.485', '-0.892', '1028.38', 'NA']
['1552699253029', '192.168.50.145', '25.11', '10205FE010002C95', '0.688', '-1.009', '-9.760', '-3.010', '-2.467', '-1.129', '-0.237', '0.485', '-0.892', '1028.38', '-97']
['1552699253058', '192.168.50.145', '10.99', '10205FE010002BEB', '0.688', '-1.009', '-9.760', '-3.010', '-2.467', '-1.129', '-0.237', '0.485', '-0.892', '1028.38', '-91']
['1552699253080', '192.168.50.145', 'NA', 'NA', '0.899', '-0.981', '-9.668', '-2.791', '-1.916', '-1.181', '-0.240', '0.481', '-0.892', '1028.34', 'NA']
['1552699253115', '192.168.50.145', 'NA', 'NA', '0.899', '-0.981', '-9.668', '-2.791', '-1.916', '-1.181', '-0.240', '0.481', '-0.892', '1028.34', 'NA']
['1552699253137', '192.168.50.145', 'NA', 'NA', '0.677', '-0.989', '-9.656', '-3.141', '-2.257', '-1.452', '-0.241', '0.485', '-0.901', '1028.34', 'NA']
['1552699253172', '192.168.50.145', 'NA', 'NA', '0.677', '-0.989', '-9.656', '-3.141', '-2.257', '-1.452', '-0.241', '0.485', '-0.901', '1028.34', 'NA']
['1552699253194', '192.168.50.145', 'NA', 'NA', '0.896', '-0.940', '-9.582', '-2.949', '-1.067', '-1.400', '-0.238', '0.487', '-0.892', '1028.35', 'NA']
['1552699253223', '192.168.50.145', '11.00', '10205FE010002BEB', '0.896', '-0.940', '-9.582', '-2.949', '-1.067', '-1.400', '-0.238', '0.487', '-0.892', '1028.35', '-92']
['1552699253245', '192.168.50.145', 'NA', 'NA', '0.896', '-0.940', '-9.582', '-2.949', '-1.067', '-1.400', '-0.238', '0.487', '-0.892', '1028.35', 'NA']
['1552699253279', '192.168.50.145', 'NA', 'NA', '0.680', '-0.971', '-9.629', '-3.483', '-1.452', '-1.391', '-0.240', '0.491', '-0.897', '1028.34', 'NA']
['1552699253302', '192.168.50.145', 'NA', 'NA', '0.680', '-0.971', '-9.629', '-3.483', '-1.452', '-1.391', '-0.240', '0.491', '-0.897', '1028.34', 'NA']
['1552699253336', '192.168.50.145', 'NA', 'NA', '0.701', '-0.994', '-9.635', '-3.334', '-1.409', '-1.251', '-0.239', '0.485', '-0.903', '1028.30', 'NA']
['1552699253359', '192.168.50.145', 'NA', 'NA', '0.701', '-0.994', '-9.635', '-3.334', '-1.409', '-1.251', '-0.239', '0.485', '-0.903', '1028.30', 'NA']
['1552699253387', '192.168.50.145', '11.03', '10205FE010002BEB', '0.930', '-0.973', '-9.555', '-2.634', '-1.969', '-1.496', '-0.243', '0.485', '-0.898', '1028.32', '-92']
['1552699253410', '192.168.50.145', 'NA', 'NA', '0.930', '-0.973', '-9.555', '-2.634', '-1.969', '-1.496', '-0.243', '0.485', '-0.898', '1028.32', 'NA']
['1552699253444', '192.168.50.145', 'NA', 'NA', '0.930', '-0.973', '-9.555', '-2.634', '-1.969', '-1.496', '-0.243', '0.485', '-0.898', '1028.32', 'NA']
['1552699253467', '192.168.50.145', 'NA', 'NA', '0.699', '-1.000', '-9.671', '-3.089', '-2.590', '-1.365', '-0.244', '0.488', '-0.895', '1028.35', 'NA']
['1552699253501', '192.168.50.145', 'NA', 'NA', '0.699', '-1.000', '-9.671', '-3.089', '-2.590', '-1.365', '-0.244', '0.488', '-0.895', '1028.35', 'NA']
['1552699253523', '192.168.50.145', 'NA', 'NA', '0.899', '-0.989', '-9.581', '-2.616', '-1.776', '-1.111', '-0.239', '0.485', '-0.891', '1028.34', 'NA']
['1552699253557', '192.168.50.145', 'NA', 'NA', '0.899', '-0.989', '-9.581', '-2.616', '-1.776', '-1.111', '-0.239', '0.485', '-0.891', '1028.34', 'NA']
['1552699253579', '192.168.50.145', 'NA', 'NA', '0.693', '-0.964', '-9.647', '-2.984', '-2.179', '-1.304', '-0.245', '0.489', '-0.899', '1028.30', 'NA']
['1552699253614', '192.168.50.145', 'NA', 'NA', '0.693', '-0.964', '-9.647', '-2.984', '-2.179', '-1.304', '-0.245', '0.489', '-0.899', '1028.30', 'NA']
['1552699253636', '192.168.50.145', 'NA', 'NA', '0.930', '-0.988', '-9.552', '-3.255', '-1.347', '-1.435', '-0.243', '0.488', '-0.894', '1028.34', 'NA']
['1552699253671', '192.168.50.145', 'NA', 'NA', '0.930', '-0.988', '-9.552', '-3.255', '-1.347', '-1.435', '-0.243', '0.488', '-0.894', '1028.34', 'NA']
['1552699253693', '192.168.50.145', 'NA', 'NA', '0.937', '-1.004', '-9.570', '-3.325', '-1.575', '-1.041', '-0.245', '0.487', '-0.894', '1028.29', 'NA']
['1552699253722', '192.168.50.145', '11.03', '10205FE010002BEB', '0.937', '-1.004', '-9.570', '-3.325', '-1.575', '-1.041', '-0.245', '0.487', '-0.894', '1028.29', '-92']
['1552699253744', '192.168.50.145', 'NA', 'NA', '0.937', '-1.004', '-9.570', '-3.325', '-1.575', '-1.041', '-0.245', '0.487', '-0.894', '1028.29', 'NA']
['1552699253779', '192.168.50.145', 'NA', 'NA', '0.730', '-0.938', '-9.624', '-3.290', '-1.969', '-1.321', '-0.247', '0.487', '-0.892', '1028.33', 'NA']
['1552699253801', '192.168.50.145', 'NA', 'NA', '0.730', '-0.938', '-9.624', '-3.290', '-1.969', '-1.321', '-0.247', '0.487', '-0.892', '1028.33', 'NA']
['1552699253836', '192.168.50.145', 'NA', 'NA', '0.875', '-1.024', '-9.494', '-2.651', '-2.030', '-1.339', '-0.246', '0.485', '-0.893', '1028.32', 'NA']
['1552699253852', '192.168.50.145', '25.03', '10205FE010002C95', '0.875', '-1.024', '-9.494', '-2.651', '-2.030', '-1.339', '-0.246', '0.485', '-0.893', '1028.32', '-98']
['1552699253880', '192.168.50.145', '11.00', '10205FE010002BEB', '0.875', '-1.024', '-9.494', '-2.651', '-2.030', '-1.339', '-0.246', '0.485', '-0.893', '1028.32', '-91']
['1552699253903', '192.168.50.145', 'NA', 'NA', '0.676', '-0.979', '-9.637', '-2.984', '-2.739', '-1.138', '-0.245', '0.486', '-0.891', '1028.31', 'NA']
['1552699253937', '192.168.50.145', 'NA', 'NA', '0.676', '-0.979', '-9.637', '-2.984', '-2.739', '-1.138', '-0.245', '0.486', '-0.891', '1028.31', 'NA']
['1552699253960', '192.168.50.145', 'NA', 'NA', '0.909', '-1.050', '-9.563', '-3.010', '-1.671', '-1.102', '-0.247', '0.486', '-0.901', '1028.35', 'NA']
['1552699253994', '192.168.50.145', 'NA', 'NA', '0.909', '-1.050', '-9.563', '-3.010', '-1.671', '-1.102', '-0.247', '0.486', '-0.901', '1028.35', 'NA']
['1552699254017', '192.168.50.145', 'NA', 'NA', '0.686', '-0.979', '-9.618', '-3.089', '-1.776', '-1.452', '-0.244', '0.486', '-0.901', '1028.31', 'NA']
['1552699254045', '192.168.50.145', '10.94', '10205FE010002BEB', '0.686', '-0.979', '-9.618', '-3.089', '-1.776', '-1.452', '-0.244', '0.486', '-0.901', '1028.31', '-92']
['1552699254068', '192.168.50.145', 'NA', 'NA', '0.726', '-1.004', '-9.691', '-3.220', '-1.059', '-1.356', '-0.243', '0.491', '-0.900', '1028.35', 'NA']
['1552699254102', '192.168.50.145', 'NA', 'NA', '0.726', '-1.004', '-9.691', '-3.220', '-1.059', '-1.356', '-0.243', '0.491', '-0.900', '1028.35', 'NA']
['1552699254124', '192.168.50.145', 'NA', 'NA', '0.893', '-1.055', '-9.537', '-3.264', '-1.689', '-1.102', '-0.240', '0.489', '-0.893', '1028.35', 'NA']
['1552699254159', '192.168.50.145', 'NA', 'NA', '0.893', '-1.055', '-9.537', '-3.264', '-1.689', '-1.102', '-0.240', '0.489', '-0.893', '1028.35', 'NA']
['1552699254175', '192.168.50.145', '25.00', '10205FE010002C95', '0.893', '-1.055', '-9.537', '-3.264', '-1.689', '-1.102', '-0.240', '0.489', '-0.893', '1028.35', '-97']
['1552699254210', '192.168.50.145', 'NA', 'NA', '0.711', '-0.939', '-9.728', '-3.054', '-2.293', '-1.470', '-0.239', '0.485', '-0.894', '1028.39', 'NA']
['1552699254232', '192.168.50.145', 'NA', 'NA', '0.711', '-0.939', '-9.728', '-3.054', '-2.293', '-1.470', '-0.239', '0.485', '-0.894', '1028.39', 'NA']
['1552699254267', '192.168.50.145', 'NA', 'NA', '0.848', '-1.092', '-9.576', '-2.503', '-1.986', '-1.321', '-0.240', '0.485', '-0.892', '1028.31', 'NA']
