['1552697512500', '192.168.50.145', 'NA', 'NA', '0.853', '0.123', '-9.246', '16.144', '19.198', '30.266', '0.243', '0.022', '-0.456', '1028.53', 'NA']
['1552697512528', '192.168.50.145', '18.72', '10205FE0100031F3', '1.255', '0.122', '-8.767', '23.389', '6.414', '32.358', '0.249', '0.000', '-0.461', '1028.49', '-92']
['1552697512550', '192.168.50.145', 'NA', 'NA', '1.255', '0.122', '-8.767', '23.389', '6.414', '32.358', '0.249', '0.000', '-0.461', '1028.49', 'NA']
['1552697512570', '192.168.50.145', '38.29', '10205FE010002A7B', '1.255', '0.122', '-8.767', '23.389', '6.414', '32.358', '0.249', '0.000', '-0.461', '1028.49', '-84']
['1552697512585', '192.168.50.145', '21.07', '10205FE010002C95', '2.035', '-0.223', '-8.771', '7.481', '-16.993', '24.920', '0.265', '-0.004', '-0.440', '1028.46', '-92']
['1552697512607', '192.168.50.145', 'NA', 'NA', '2.035', '-0.223', '-8.771', '7.481', '-16.993', '24.920', '0.265', '-0.004', '-0.440', '1028.46', 'NA']
['1552697512628', '192.168.50.145', '2.69', '10205FE010002C92', '2.035', '-0.223', '-8.771', '7.481', '-16.993', '24.920', '0.265', '-0.004', '-0.440', '1028.46', '-81']
['1552697512649', '192.168.50.145', 'NA', 'NA', '1.589', '0.528', '-9.751', '8.820', '-32.200', '22.269', '0.247', '-0.027', '-0.461', '1028.52', 'NA']
['1552697512671', '192.168.50.145', 'NA', 'NA', '1.589', '0.528', '-9.751', '8.820', '-32.200', '22.269', '0.247', '-0.027', '-0.461', '1028.52', 'NA']
['1552697512692', '192.168.50.145', '38.26', '10205FE010002A7B', '1.589', '0.528', '-9.751', '8.820', '-32.200', '22.269', '0.247', '-0.027', '-0.461', '1028.52', '-84']
['1552697512714', '192.168.50.145', 'NA', 'NA', '1.341', '0.461', '-10.315', '10.762', '-49.053', '25.112', '0.241', '-0.038', '-0.449', '1028.50', 'NA']
['1552697512738', '192.168.50.145', 'NA', 'NA', '1.341', '0.461', '-10.315', '10.762', '-49.053', '25.112', '0.241', '-0.038', '-0.449', '1028.50', 'NA']
['1552697512762', '192.168.50.145', '2.57', '10205FE010002C92', '1.341', '0.461', '-10.315', '10.762', '-49.053', '25.112', '0.241', '-0.038', '-0.449', '1028.50', '-82']
['1552697512777', '192.168.50.145', '18.71', '10205FE0100031F3', '0.991', '0.330', '-10.312', '-9.791', '-49.403', '-16.721', '0.225', '-0.035', '-0.460', '1028.53', '-90']
['1552697512798', '192.168.50.145', 'NA', 'NA', '0.991', '0.330', '-10.312', '-9.791', '-49.403', '-16.721', '0.225', '-0.035', '-0.460', '1028.53', 'NA']
['1552697512826', '192.168.50.145', 'NA', 'NA', '0.991', '0.330', '-10.312', '-9.791', '-49.403', '-16.721', '0.225', '-0.035', '-0.460', '1028.53', 'NA']
['1552697512848', '192.168.50.145', 'NA', 'NA', '0.538', '0.579', '-9.838', '-5.119', '-51.546', '-18.296', '0.204', '-0.033', '-0.469', '1028.43', 'NA']
['1552697512869', '192.168.50.145', '10.28', '10205FE010002BEB', '0.538', '0.579', '-9.838', '-5.119', '-51.546', '-18.296', '0.204', '-0.033', '-0.469', '1028.43', '-82']
['1552697512884', '192.168.50.145', '2.70', '10205FE010002C92', '0.538', '0.579', '-9.838', '-5.119', '-51.546', '-18.296', '0.204', '-0.033', '-0.469', '1028.43', '-81']
['1552697512899', '192.168.50.145', '18.68', '10205FE0100031F3', '-0.085', '0.657', '-10.097', '16.013', '-4.305', '-11.104', '0.194', '-0.036', '-0.475', '1028.47', '-89']
['1552697512931', '192.168.50.145', 'NA', 'NA', '-0.085', '0.657', '-10.097', '16.013', '-4.305', '-11.104', '0.194', '-0.036', '-0.475', '1028.47', 'NA']
['1552697512946', '192.168.50.145', '38.21', '10205FE010002A7B', '-0.085', '0.657', '-10.097', '16.013', '-4.305', '-11.104', '0.194', '-0.036', '-0.475', '1028.47', '-84']
['1552697512961', '192.168.50.145', '-0.75', '10205FE010002C95', '-0.050', '-0.394', '-10.577', '14.665', '4.253', '-26.635', '0.182', '-0.036', '-0.496', '1028.51', '-90']
['1552697512982', '192.168.50.145', '10.25', '10205FE010002BEB', '-0.050', '-0.394', '-10.577', '14.665', '4.253', '-26.635', '0.182', '-0.036', '-0.496', '1028.51', '-83']
['1552697513002', '192.168.50.145', '2.68', '10205FE010002C92', '-0.050', '-0.394', '-10.577', '14.665', '4.253', '-26.635', '0.182', '-0.036', '-0.496', '1028.51', '-81']
['1552697513023', '192.168.50.145', 'NA', 'NA', '-0.835', '-0.032', '-9.836', '16.048', '8.890', '-25.200', '0.195', '-0.045', '-0.478', '1028.48', 'NA']
['1552697513044', '192.168.50.145', '36.86', '10205FE010002A85', '-0.835', '-0.032', '-9.836', '16.048', '8.890', '-25.200', '0.195', '-0.045', '-0.478', '1028.48', '-94']
['1552697513074', '192.168.50.145', 'NA', 'NA', '-1.558', '0.167', '-9.607', '10.377', '18.384', '-13.335', '0.201', '-0.048', '-0.469', '1028.47', 'NA']
['1552697513112', '192.168.50.145', 'NA', 'NA', '-1.558', '0.167', '-9.607', '10.377', '18.384', '-13.335', '0.201', '-0.048', '-0.469', '1028.47', 'NA']
['1552697513127', '192.168.50.145', '10.27', '10205FE010002BEB', '-1.558', '0.167', '-9.607', '10.377', '18.384', '-13.335', '0.201', '-0.048', '-0.469', '1028.47', '-82']
['1552697513158', '192.168.50.145', 'NA', 'NA', '-0.526', '0.035', '-9.423', '16.476', '17.631', '-10.028', '0.209', '-0.050', '-0.473', '1028.49', 'NA']
['1552697513174', '192.168.50.145', '18.60', '10205FE0100031F3', '-0.526', '0.035', '-9.423', '16.476', '17.631', '-10.028', '0.209', '-0.050', '-0.473', '1028.49', '-90']
['1552697513205', '192.168.50.145', 'NA', 'NA', '0.007', '-0.158', '-9.685', '5.582', '16.642', '-8.137', '0.217', '-0.056', '-0.467', '1028.49', 'NA']
['1552697513226', '192.168.50.145', '38.14', '10205FE010002A7B', '0.007', '-0.158', '-9.685', '5.582', '16.642', '-8.137', '0.217', '-0.056', '-0.467', '1028.49', '-84']
['1552697513240', '192.168.50.145', '20.79', '10205FE010002C95', '0.007', '-0.158', '-9.685', '5.582', '16.642', '-8.137', '0.217', '-0.056', '-0.467', '1028.49', '-91']
['1552697513261', '192.168.50.145', 'NA', 'NA', '0.357', '0.172', '-9.919', '0.630', '1.260', '1.041', '0.225', '-0.061', '-0.462', '1028.51', 'NA']
['1552697513289', '192.168.50.145', 'NA', 'NA', '0.357', '0.172', '-9.919', '0.630', '1.260', '1.041', '0.225', '-0.061', '-0.462', '1028.51', 'NA']
['1552697513310', '192.168.50.145', 'NA', 'NA', '0.357', '0.172', '-9.919', '0.630', '1.260', '1.041', '0.225', '-0.061', '-0.462', '1028.51', 'NA']
['1552697513331', '192.168.50.145', 'NA', 'NA', '0.384', '0.511', '-10.636', '-3.211', '10.334', '1.321', '0.231', '-0.065', '-0.459', '1028.55', 'NA']
['1552697513356', '192.168.50.145', '38.05', '10205FE010002A7B', '0.384', '0.511', '-10.636', '-3.211', '10.334', '1.321', '0.231', '-0.065', '-0.459', '1028.55', '-84']
['1552697513371', '192.168.50.145', '20.77', '10205FE010002C95', '0.384', '0.511', '-10.636', '-3.211', '10.334', '1.321', '0.231', '-0.065', '-0.459', '1028.55', '-93']
['1552697513392', '192.168.50.145', 'NA', 'NA', '0.658', '-0.281', '-11.218', '-22.601', '-2.949', '1.697', '0.231', '-0.056', '-0.462', '1028.48', 'NA']
['1552697513412', '192.168.50.145', '2.67', '10205FE010002C92', '0.658', '-0.281', '-11.218', '-22.601', '-2.949', '1.697', '0.231', '-0.056', '-0.462', '1028.48', '-81']
['1552697513427', '192.168.50.145', '17.74', '10205FE0100031F3', '0.658', '-0.281', '-11.218', '-22.601', '-2.949', '1.697', '0.231', '-0.056', '-0.462', '1028.48', '-90']
['1552697513448', '192.168.50.145', 'NA', 'NA', '-0.063', '0.114', '-11.093', '-25.664', '-6.055', '21.954', '0.228', '-0.052', '-0.458', '1028.49', 'NA']
['1552697513475', '192.168.50.145', 'NA', 'NA', '-0.063', '0.114', '-11.093', '-25.664', '-6.055', '21.954', '0.228', '-0.052', '-0.458', '1028.49', 'NA']
['1552697513489', '192.168.50.145', '20.57', '10205FE010002C95', '-0.063', '0.114', '-11.093', '-25.664', '-6.055', '21.954', '0.228', '-0.052', '-0.458', '1028.49', '-92']
['1552697513514', '192.168.50.145', 'NA', 'NA', '-0.147', '-0.123', '-12.196', '-20.746', '5.128', '46.812', '0.230', '-0.049', '-0.467', '1028.49', 'NA']
['1552697513541', '192.168.50.145', 'NA', 'NA', '-0.147', '-0.123', '-12.196', '-20.746', '5.128', '46.812', '0.230', '-0.049', '-0.467', '1028.49', 'NA']
['1552697513555', '192.168.50.145', '18.22', '10205FE0100031F3', '-0.147', '-0.123', '-12.196', '-20.746', '5.128', '46.812', '0.230', '-0.049', '-0.467', '1028.49', '-89']
['1552697513570', '192.168.50.145', '36.41', '10205FE010002A85', '-0.147', '-0.123', '-12.196', '-20.746', '5.128', '46.812', '0.230', '-0.049', '-0.467', '1028.49', '-93']
['1552697513597', '192.168.50.145', 'NA', 'NA', '2.648', '-2.282', '-13.127', '-9.529', '13.318', '11.340', '0.244', '-0.052', '-0.453', '1028.48', 'NA']
['1552697513612', '192.168.50.145', '20.54', '10205FE010002C95', '2.648', '-2.282', '-13.127', '-9.529', '13.318', '11.340', '0.244', '-0.052', '-0.453', '1028.48', '-92']
['1552697513626', '192.168.50.145', '10.20', '10205FE010002BEB', '2.648', '-2.282', '-13.127', '-9.529', '13.318', '11.340', '0.244', '-0.052', '-0.453', '1028.48', '-82']
['1552697513671', '192.168.50.145', 'NA', 'NA', '0.144', '-3.227', '-10.416', '-48.265', '-11.086', '-12.863', '0.234', '-0.033', '-0.456', '1028.52', 'NA']
['1552697513693', '192.168.50.145', 'NA', 'NA', '-1.114', '-2.047', '-8.865', '-37.572', '-6.668', '6.711', '0.234', '-0.018', '-0.448', '1028.49', 'NA']
['1552697513722', '192.168.50.145', '36.34', '10205FE010002A85', '-1.114', '-2.047', '-8.865', '-37.572', '-6.668', '6.711', '0.234', '-0.018', '-0.448', '1028.49', '-92']
['1552697513737', '192.168.50.145', '37.59', '10205FE010002A7B', '-1.114', '-2.047', '-8.865', '-37.572', '-6.668', '6.711', '0.234', '-0.018', '-0.448', '1028.49', '-84']
['1552697513759', '192.168.50.145', 'NA', 'NA', '-0.605', '0.325', '-6.902', '-2.214', '-5.407', '3.509', '0.241', '-0.015', '-0.447', '1028.51', 'NA']
['1552697513805', '192.168.50.145', 'NA', 'NA', '-0.605', '0.325', '-6.902', '-2.214', '-5.407', '3.509', '0.241', '-0.015', '-0.447', '1028.51', 'NA']
['1552697513827', '192.168.50.145', 'NA', 'NA', '-0.248', '0.329', '-7.669', '-10.036', '-8.925', '2.678', '0.237', '-0.013', '-0.450', '1028.51', 'NA']
['1552697513873', '192.168.50.145', 'NA', 'NA', '-0.248', '0.329', '-7.669', '-10.036', '-8.925', '2.678', '0.237', '-0.013', '-0.450', '1028.51', 'NA']
['1552697513895', '192.168.50.145', 'NA', 'NA', '-0.419', '1.111', '-7.825', '-11.016', '-3.185', '2.651', '0.230', '-0.004', '-0.457', '1028.49', 'NA']
['1552697513939', '192.168.50.145', 'NA', 'NA', '-0.419', '1.111', '-7.825', '-11.016', '-3.185', '2.651', '0.230', '-0.004', '-0.457', '1028.49', 'NA']
['1552697513964', '192.168.50.145', '20.17', '10205FE010002C95', '-0.022', '1.296', '-8.228', '-13.965', '0.560', '-1.794', '0.228', '-0.001', '-0.458', '1028.48', '-93']
['1552697514011', '192.168.50.145', 'NA', 'NA', '-0.022', '1.296', '-8.228', '-13.965', '0.560', '-1.794', '0.228', '-0.001', '-0.458', '1028.48', 'NA']
['1552697514033', '192.168.50.145', 'NA', 'NA', '-0.250', '1.399', '-9.588', '-21.910', '1.916', '-10.430', '0.229', '0.006', '-0.457', '1028.44', 'NA']
['1552697514071', '192.168.50.145', 'NA', 'NA', '-0.250', '1.399', '-9.588', '-21.910', '1.916', '-10.430', '0.229', '0.006', '-0.457', '1028.44', 'NA']
['1552697514092', '192.168.50.145', 'NA', 'NA', '0.005', '0.559', '-11.330', '-32.077', '-10.693', '-3.561', '0.236', '0.012', '-0.445', '1028.48', 'NA']
['1552697514119', '192.168.50.145', 'NA', 'NA', '0.005', '0.559', '-11.330', '-32.077', '-10.693', '-3.561', '0.236', '0.012', '-0.445', '1028.48', 'NA']
['1552697514134', '192.168.50.145', '20.05', '10205FE010002C95', '0.005', '0.559', '-11.330', '-32.077', '-10.693', '-3.561', '0.236', '0.012', '-0.445', '1028.48', '-93']
['1552697514154', '192.168.50.145', 'NA', 'NA', '0.413', '1.373', '-12.138', '-10.491', '-2.826', '-6.151', '0.232', '0.024', '-0.442', '1028.52', 'NA']
['1552697514175', '192.168.50.145', '3.19', '10205FE010002C92', '0.413', '1.373', '-12.138', '-10.491', '-2.826', '-6.151', '0.232', '0.024', '-0.442', '1028.52', '-82']
['1552697514196', '192.168.50.145', 'NA', 'NA', '0.413', '1.373', '-12.138', '-10.491', '-2.826', '-6.151', '0.232', '0.024', '-0.442', '1028.52', 'NA']
['1552697514217', '192.168.50.145', 'NA', 'NA', '1.237', '-1.123', '-14.028', '-34.510', '-9.083', '-21.044', '0.225', '0.038', '-0.445', '1028.50', 'NA']
['1552697514238', '192.168.50.145', '37.00', '10205FE010002A7B', '1.237', '-1.123', '-14.028', '-34.510', '-9.083', '-21.044', '0.225', '0.038', '-0.445', '1028.50', '-84']
['1552697514259', '192.168.50.145', 'NA', 'NA', '1.237', '-1.123', '-14.028', '-34.510', '-9.083', '-21.044', '0.225', '0.038', '-0.445', '1028.50', 'NA']
['1552697514273', '192.168.50.145', '10.39', '10205FE010002BEB', '0.631', '-0.173', '-11.046', '-7.508', '-0.647', '-9.852', '0.215', '0.045', '-0.461', '1028.54', '-83']
['1552697514300', '192.168.50.145', 'NA', 'NA', '0.631', '-0.173', '-11.046', '-7.508', '-0.647', '-9.852', '0.215', '0.045', '-0.461', '1028.54', 'NA']
['1552697514315', '192.168.50.145', '17.01', '10205FE0100031F3', '0.631', '-0.173', '-11.046', '-7.508', '-0.647', '-9.852', '0.215', '0.045', '-0.461', '1028.54', '-95']
['1552697514329', '192.168.50.145', '35.44', '10205FE010002A85', '0.300', '0.438', '-8.813', '-5.119', '5.696', '-10.710', '0.222', '0.048', '-0.448', '1028.55', '-95']
['1552697514371', '192.168.50.145', 'NA', 'NA', '0.300', '0.438', '-8.813', '-5.119', '5.696', '-10.710', '0.222', '0.048', '-0.448', '1028.55', 'NA']
['1552697514393', '192.168.50.145', 'NA', 'NA', '0.364', '1.504', '-7.100', '-2.949', '-16.747', '-12.163', '0.214', '0.054', '-0.449', '1028.54', 'NA']
['1552697514420', '192.168.50.145', 'NA', 'NA', '0.364', '1.504', '-7.100', '-2.949', '-16.747', '-12.163', '0.214', '0.054', '-0.449', '1028.54', 'NA']
['1552697514435', '192.168.50.145', '3.44', '10205FE010002C92', '0.364', '1.504', '-7.100', '-2.949', '-16.747', '-12.163', '0.214', '0.054', '-0.449', '1028.54', '-83']
['1552697514450', '192.168.50.145', '16.96', '10205FE0100031F3', '-0.806', '1.592', '-6.869', '-9.485', '-13.641', '-4.428', '0.207', '0.060', '-0.457', '1028.51', '-95']
['1552697514480', '192.168.50.145', '35.22', '10205FE010002A85', '-0.806', '1.592', '-6.869', '-9.485', '-13.641', '-4.428', '0.207', '0.060', '-0.457', '1028.51', '-94']
['1552697514496', '192.168.50.145', '36.70', '10205FE010002A7B', '-0.806', '1.592', '-6.869', '-9.485', '-13.641', '-4.428', '0.207', '0.060', '-0.457', '1028.51', '-84']
['1552697514510', '192.168.50.145', '19.59', '10205FE010002C95', '-0.273', '0.958', '-8.374', '-26.495', '-11.778', '12.320', '0.218', '0.062', '-0.449', '1028.51', '-94']
['1552697514543', '192.168.50.145', '10.33', '10205FE010002BEB', '-0.273', '0.958', '-8.374', '-26.495', '-11.778', '12.320', '0.218', '0.062', '-0.449', '1028.51', '-83']
['1552697514564', '192.168.50.145', 'NA', 'NA', '-0.208', '2.087', '-8.548', '-12.198', '2.389', '19.180', '0.219', '0.068', '-0.446', '1028.54', 'NA']
['1552697514605', '192.168.50.145', 'NA', 'NA', '-0.208', '2.087', '-8.548', '-12.198', '2.389', '19.180', '0.219', '0.068', '-0.446', '1028.54', 'NA']
['1552697514620', '192.168.50.145', '35.20', '10205FE010002A85', '-0.208', '2.087', '-8.548', '-12.198', '2.389', '19.180', '0.219', '0.068', '-0.446', '1028.54', '-93']
['1552697514651', '192.168.50.145', 'NA', 'NA', '0.483', '2.514', '-10.912', '-7.184', '1.610', '19.635', '0.226', '0.063', '-0.434', '1028.55', 'NA']
['1552697514673', '192.168.50.145', 'NA', 'NA', '0.483', '2.514', '-10.912', '-7.184', '1.610', '19.635', '0.226', '0.063', '-0.434', '1028.55', 'NA']
['1552697514704', '192.168.50.145', '10.40', '10205FE010002BEB', '-0.782', '2.011', '-13.108', '8.829', '25.996', '14.901', '0.232', '0.057', '-0.435', '1028.60', '-82']
['1552697514729', '192.168.50.145', 'NA', 'NA', '-0.782', '2.011', '-13.108', '8.829', '25.996', '14.901', '0.232', '0.057', '-0.435', '1028.60', 'NA']
['1552697514757', '192.168.50.145', 'NA', 'NA', '-0.782', '2.011', '-13.108', '8.829', '25.996', '14.901', '0.232', '0.057', '-0.435', '1028.60', 'NA']
['1552697514772', '192.168.50.145', '34.78', '10205FE010002A85', '0.823', '0.221', '-13.588', '-25.917', '0.184', '9.774', '0.243', '0.051', '-0.428', '1028.51', '-95']
['1552697514807', '192.168.50.145', 'NA', 'NA', '-0.514', '0.849', '-10.032', '-6.379', '9.021', '6.904', '0.244', '0.063', '-0.427', '1028.54', 'NA']
['1552697514854', '192.168.50.145', 'NA', 'NA', '-0.514', '0.849', '-10.032', '-6.379', '9.021', '6.904', '0.244', '0.063', '-0.427', '1028.54', 'NA']
['1552697514869', '192.168.50.145', '10.40', '10205FE010002BEB', '-0.282', '1.248', '-7.571', '27.956', '-2.109', '10.369', '0.252', '0.048', '-0.423', '1028.57', '-82']
['1552697514912', '192.168.50.145', 'NA', 'NA', '-0.282', '1.248', '-7.571', '27.956', '-2.109', '10.369', '0.252', '0.048', '-0.423', '1028.57', 'NA']
['1552697514931', '192.168.50.145', '16.34', '10205FE0100031F3', '-0.282', '1.248', '-7.571', '27.956', '-2.109', '10.369', '0.252', '0.048', '-0.423', '1028.57', '-92']
['1552697514966', '192.168.50.145', 'NA', 'NA', '0.355', '0.843', '-9.301', '4.200', '-12.941', '-2.704', '0.254', '0.046', '-0.426', '1028.49', 'NA']
['1552697514988', '192.168.50.145', 'NA', 'NA', '-0.479', '1.858', '-8.382', '-11.165', '-22.374', '-1.715', '0.238', '0.041', '-0.431', '1028.58', 'NA']
['1552697515034', '192.168.50.145', 'NA', 'NA', '-0.479', '1.858', '-8.382', '-11.165', '-22.374', '-1.715', '0.238', '0.041', '-0.431', '1028.58', 'NA']
['1552697515049', '192.168.50.145', '10.58', '10205FE010002BEB', '-0.479', '1.858', '-8.382', '-11.165', '-22.374', '-1.715', '0.238', '0.041', '-0.431', '1028.58', '-83']
['1552697515094', '192.168.50.145', 'NA', 'NA', '-0.376', '1.771', '-7.913', '-3.491', '-0.718', '-9.100', '0.244', '0.046', '-0.430', '1028.51', 'NA']
['1552697515119', '192.168.50.145', 'NA', 'NA', '-0.376', '1.771', '-7.913', '-3.491', '-0.718', '-9.100', '0.244', '0.046', '-0.430', '1028.51', 'NA']
['1552697515146', '192.168.50.145', '34.45', '10205FE010002A85', '-0.039', '1.120', '-9.429', '-4.428', '-16.083', '0.061', '0.241', '0.048', '-0.433', '1028.53', '-93']
['1552697515164', '192.168.50.145', '35.84', '10205FE010002A7B', '-0.039', '1.120', '-9.429', '-4.428', '-16.083', '0.061', '0.241', '0.048', '-0.433', '1028.53', '-85']
['1552697515187', '192.168.50.145', 'NA', 'NA', '0.135', '1.038', '-10.225', '-3.902', '10.631', '0.394', '0.244', '0.047', '-0.435', '1028.51', 'NA']
['1552697515228', '192.168.50.145', '10.37', '10205FE010002BEB', '0.135', '1.038', '-10.225', '-3.902', '10.631', '0.394', '0.244', '0.047', '-0.435', '1028.51', '-81']
['1552697515250', '192.168.50.145', 'NA', 'NA', '0.384', '2.139', '-11.037', '8.986', '34.230', '-13.387', '0.257', '0.049', '-0.422', '1028.55', 'NA']
['1552697515285', '192.168.50.145', 'NA', 'NA', '0.384', '2.139', '-11.037', '8.986', '34.230', '-13.387', '0.257', '0.049', '-0.422', '1028.55', 'NA']
['1552697515307', '192.168.50.145', 'NA', 'NA', '1.852', '0.755', '-12.979', '-13.659', '-3.010', '-12.574', '0.259', '0.053', '-0.420', '1028.60', 'NA']
['1552697515353', '192.168.50.145', '35.52', '10205FE010002A7B', '1.852', '0.755', '-12.979', '-13.659', '-3.010', '-12.574', '0.259', '0.053', '-0.420', '1028.60', '-84']
['1552697515375', '192.168.50.145', 'NA', 'NA', '1.320', '0.708', '-11.176', '-0.061', '11.156', '-11.953', '0.263', '0.054', '-0.417', '1028.55', 'NA']
['1552697515410', '192.168.50.145', '32.57', '10205FE010002BEB', '1.320', '0.708', '-11.176', '-0.061', '11.156', '-11.953', '0.263', '0.054', '-0.417', '1028.55', '-106']
['1552697515432', '192.168.50.145', 'NA', 'NA', '1.320', '0.708', '-11.176', '-0.061', '11.156', '-11.953', '0.263', '0.054', '-0.417', '1028.55', 'NA']
['1552697515474', '192.168.50.145', 'NA', 'NA', '0.848', '0.696', '-9.608', '-11.366', '1.811', '-8.794', '0.266', '0.057', '-0.412', '1028.56', 'NA']
['1552697515489', '192.168.50.145', '33.78', '10205FE010002A85', '0.848', '0.696', '-9.608', '-11.366', '1.811', '-8.794', '0.266', '0.057', '-0.412', '1028.56', '-93']
['1552697515516', '192.168.50.145', '35.33', '10205FE010002A7B', '0.355', '1.872', '-7.517', '-20.720', '2.467', '-9.021', '0.266', '0.065', '-0.410', '1028.63', '-83']
['1552697515538', '192.168.50.145', 'NA', 'NA', '0.355', '1.872', '-7.517', '-20.720', '2.467', '-9.021', '0.266', '0.065', '-0.410', '1028.63', 'NA']
['1552697515554', '192.168.50.145', '10.68', '10205FE010002BEB', '0.457', '1.517', '-6.970', '-19.626', '1.418', '-1.094', '0.264', '0.074', '-0.404', '1028.58', '-82']
['1552697515591', '192.168.50.145', '4.26', '10205FE010002C92', '0.457', '1.517', '-6.970', '-19.626', '1.418', '-1.094', '0.264', '0.074', '-0.404', '1028.58', '-81']
['1552697515613', '192.168.50.145', 'NA', 'NA', '0.457', '1.517', '-6.970', '-19.626', '1.418', '-1.094', '0.264', '0.074', '-0.404', '1028.58', 'NA']
['1552697515640', '192.168.50.145', '33.68', '10205FE010002A85', '1.056', '1.908', '-7.707', '-18.743', '7.140', '-1.995', '0.274', '0.081', '-0.397', '1028.60', '-93']
['1552697515662', '192.168.50.145', 'NA', 'NA', '1.056', '1.908', '-7.707', '-18.743', '7.140', '-1.995', '0.274', '0.081', '-0.397', '1028.60', 'NA']
['1552697515683', '192.168.50.145', 'NA', 'NA', '1.206', '2.368', '-9.683', '-1.444', '-2.704', '2.030', '0.271', '0.084', '-0.395', '1028.62', 'NA']
['1552697515710', '192.168.50.145', '10.79', '10205FE010002BEB', '1.206', '2.368', '-9.683', '-1.444', '-2.704', '2.030', '0.271', '0.084', '-0.395', '1028.62', '-82']
['1552697515734', '192.168.50.145', 'NA', 'NA', '0.556', '2.199', '-11.806', '4.401', '0.228', '7.892', '0.272', '0.079', '-0.395', '1028.55', 'NA']
['1552697515775', '192.168.50.145', '15.29', '10205FE0100031F3', '0.556', '2.199', '-11.806', '4.401', '0.228', '7.892', '0.272', '0.079', '-0.395', '1028.55', '-92']
['1552697515797', '192.168.50.145', 'NA', 'NA', '0.556', '2.199', '-11.806', '4.401', '0.228', '7.892', '0.272', '0.079', '-0.395', '1028.55', 'NA']
['1552697515824', '192.168.50.145', '34.80', '10205FE010002A7B', '1.050', '1.046', '-13.066', '-2.966', '0.385', '16.380', '0.279', '0.078', '-0.399', '1028.54', '-84']
