['1552697727011', '192.168.50.145', '2.79', '10205FE010002C92', '0.255', '-5.438', '-7.956', '-1.050', '-0.892', '-7.350', '0.171', '-0.170', '-0.503', '1028.75', '-82']
['1552697727026', '192.168.50.145', '18.24', '10205FE0100031F3', '0.255', '-5.438', '-7.956', '-1.050', '-0.892', '-7.350', '0.171', '-0.170', '-0.503', '1028.75', '-91']
['1552697727053', '192.168.50.145', 'NA', 'NA', '0.341', '-5.561', '-8.029', '-2.362', '-1.155', '-4.148', '0.190', '-0.170', '-0.468', '1028.81', 'NA']
['1552697727074', '192.168.50.145', 'NA', 'NA', '0.341', '-5.561', '-8.029', '-2.362', '-1.155', '-4.148', '0.190', '-0.170', '-0.468', '1028.81', 'NA']
['1552697727089', '192.168.50.145', '20.86', '10205FE010002C95', '0.341', '-5.561', '-8.029', '-2.362', '-1.155', '-4.148', '0.190', '-0.170', '-0.468', '1028.81', '-85']
['1552697727116', '192.168.50.145', 'NA', 'NA', '0.519', '-5.375', '-7.889', '-1.094', '-3.658', '-0.236', '0.198', '-0.169', '-0.475', '1028.82', 'NA']
['1552697727131', '192.168.50.145', '2.88', '10205FE010002C92', '0.519', '-5.375', '-7.889', '-1.094', '-3.658', '-0.236', '0.198', '-0.169', '-0.475', '1028.82', '-82']
['1552697727153', '192.168.50.145', 'NA', 'NA', '0.519', '-5.375', '-7.889', '-1.094', '-3.658', '-0.236', '0.198', '-0.169', '-0.475', '1028.82', 'NA']
['1552697727177', '192.168.50.145', '36.54', '10205FE010002A85', '0.267', '-5.556', '-7.976', '-2.275', '-3.255', '1.120', '0.189', '-0.173', '-0.476', '1028.81', '-97']
['1552697727199', '192.168.50.145', 'NA', 'NA', '0.267', '-5.556', '-7.976', '-2.275', '-3.255', '1.120', '0.189', '-0.173', '-0.476', '1028.81', 'NA']
['1552697727220', '192.168.50.145', 'NA', 'NA', '0.267', '-5.556', '-7.976', '-2.275', '-3.255', '1.120', '0.189', '-0.173', '-0.476', '1028.81', 'NA']
['1552697727247', '192.168.50.145', 'NA', 'NA', '0.525', '-5.409', '-8.115', '-2.188', '0.140', '1.636', '0.195', '-0.176', '-0.469', '1028.77', 'NA']
['1552697727268', '192.168.50.145', 'NA', 'NA', '0.525', '-5.409', '-8.115', '-2.188', '0.140', '1.636', '0.195', '-0.176', '-0.469', '1028.77', 'NA']
['1552697727289', '192.168.50.145', 'NA', 'NA', '0.525', '-5.409', '-8.115', '-2.188', '0.140', '1.636', '0.195', '-0.176', '-0.469', '1028.77', 'NA']
['1552697727316', '192.168.50.145', 'NA', 'NA', '0.556', '-5.490', '-8.115', '-4.410', '-2.065', '1.916', '0.191', '-0.176', '-0.466', '1028.81', 'NA']
['1552697727338', '192.168.50.145', 'NA', 'NA', '0.556', '-5.490', '-8.115', '-4.410', '-2.065', '1.916', '0.191', '-0.176', '-0.466', '1028.81', 'NA']
['1552697727359', '192.168.50.145', 'NA', 'NA', '0.431', '-5.524', '-8.071', '-3.859', '-2.940', '-0.481', '0.193', '-0.174', '-0.467', '1028.82', 'NA']
['1552697727391', '192.168.50.145', 'NA', 'NA', '0.431', '-5.524', '-8.071', '-3.859', '-2.940', '-0.481', '0.193', '-0.174', '-0.467', '1028.82', 'NA']
